Feature,Random Forest Importance,XGBoost Importance
Age,0.011815508973700414,0.0
DistanceFromHome,0.010778011501215178,0.0
EducationField,0.0,0.004675222
EnvironmentSatisfaction,0.1689593808818885,0.13594273
JobInvolvement,0.19158375608415582,0.3669086
JobSatisfaction,0.1732910882519667,0.13301295
MonthlyIncome,0.015002632235279598,0.0047536865
OverTime,0.0,0.0052247783
PercentSalaryHike,0.023257007597881664,0.026402235
RelationshipSatisfaction,0.14942815118625813,0.08658511
TotalWorkingYears,0.009644557108659255,0.0
WorkLifeBalance,0.16136171353630677,0.16136655
YearsSinceLastPromotion,0.0,0.0047435206
